song_name,artists,album,duration_ms,popularity,explicit,available_markets
Not a Bad Thing,['Justin Timberlake'],Not a Bad Thing,266533,70,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
The Prayer,['Kid Cudi'],A Kid Named Cudi,200946,59,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PE', u'PH', u'PL', u'PT', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Man on a Wire,['The Script'],No Sound Without Silence,245466,68,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
You're Never Fully Dressed Without a Smile (2014 Film Version),['Sia'],You're Never Fully Dressed Without a Smile (2014 Film Version),190373,61,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
When A Fire Starts To Burn,['Disclosure'],Settle (Special Edition),283705,59,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Stuck On a Feeling,"['Prince Royce', 'Snoop Dogg']",Stuck On a Feeling,210343,71,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
A Sky Full of Stars - Hardwell Remix,['Coldplay'],A Sky Full Of Stars (Hardwell Remix),313124,60,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
A Long Time Ago,['First Aid Kit'],Stay Gold,241333,54,False,"[u'AU', u'BE', u'DE', u'DK', u'EE', u'FI', u'IS', u'LT', u'LU', u'LV', u'NL', u'NO', u'SE', u'SG']"
Red Lights,['Ti\xc3\xabsto'],A Town Called Paradise,262200,68,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Rise Like A Phoenix,['Conchita Wurst'],Rise Like A Phoenix,181989,52,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Only Love Can Hurt Like This,['Paloma Faith'],A Perfect Contradiction Outsiders' Edition (Deluxe),232893,71,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
More Than a Lover,"['Style of Eye', 'Anna St\xc3\xa5hl']",Footprints,225120,54,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
R E A L,['LE YOUTH'],R E A L,205026,63,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Hideaway,['Kiesza'],Sound Of A Woman,251986,65,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SI', u'SK', u'SV', u'TR', u'UY']"
Start A Fire,"['Lil Wayne', 'Christina Milian']",Start A Fire,233146,53,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Hands On The Wheel (feat. A$AP Rocky),"['Schoolboy Q', 'A$AP Rocky']",Schoolboy Q,201010,58,True,"[u'AD', u'AT', u'AU', u'BE', u'BG', u'CH', u'CY', u'CZ', u'DE', u'DK', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'HK', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NL', u'NO', u'NZ', u'PH', u'PL', u'PT', u'RO', u'SE', u'SG', u'SI', u'SK', u'TR', u'TW']"
I•M•A•M,['Silvana Imam'],I•M•A•M,203842,43,True,"[u'DK', u'EE', u'FI', u'IS', u'LT', u'LV', u'NO', u'SE']"
Wasted,"['Ti\xc3\xabsto', 'Matthew Koma']",A Town Called Paradise,190013,73,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
A Little More,"['Kaskade', 'John Dahlb\xc3\xa4ck', 'Sansa']",A Little More,233232,65,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Buy A Heart,"['Nicki Minaj', 'Meek Mill']",The Pinkprint (International Deluxe Explicit),255466,54,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Hell Of A Night,['Schoolboy Q'],Oxymoron (Deluxe),272453,58,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Build a Girl,['The Fooo Conspiracy'],Off the Grid,185080,51,False,"[u'FI', u'NO', u'SE']"
Just A Little Bit Of Your Heart,['Ariana Grande'],My Everything (Deluxe),232586,68,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
