song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en,outcome
Don't,1huvTbEYtgltjQRXzrNKGi,['Ed Sheeran'],x (Deluxe Edition),219840,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.805062,0.553462,-8.498,0.061271,95.044,Don't,1
Summer,6YUTL4dYpB9xZO5qExPf05,['Calvin Harris'],Motion,222533,FALSE,7CajNmpbOovFoOoasH2HaY,1,0.597378,0.836357,-5.257,0.031503,127.963,Summer,1
Trumpets,6jizk5lOUnfpaZXYMdfeC6,['Jason Derulo'],Tattoos,217306,FALSE,07YZf4WDAMNwqr4jfgOZ8y,1,0.626847,0.66806,-5.762,0.222543,81.831,Trumpets,1
Team,3G6hD9B2ZHOsgf4WfNu7X1,['Lorde'],Pure Heroine,193058,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.688761,0.620412,-6.761,0.093719,99.984,Team,1
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,['Milky Chance'],Sadnecessary,313684,FALSE,1hzfo8twXdOegF3xireCYs,1,0.880538,0.526846,-10.278,0.038827,114.015,Stolen Dance,1
Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,['Schoolboy Q'],Oxymoron (Deluxe),216013,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.60189,0.795234,-8.099,0.070131,112.001,Man Of The Year,1
Cruise,0i5el041vd6nxrGEU8QRxy,['Florida Georgia Line'],Here's To The Good Times,208960,FALSE,3b8QkneNDz4JHKKKlLgYZg,1,0.473438,0.939405,-3.381,0.03444,147.979,Cruise,1
Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,['Nico & Vinz'],Black Star Elephant,247520,FALSE,0awl5piYwO0CDTHEkCjUhn,1,0.72295,0.623482,-7.323,0.031837,119.946,Am I Wrong,1
Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,['Lana Del Rey'],Young And Beautiful,236053,FALSE,00FQb4jTyendYWaN8pK0wa,1,0.34986,0.439725,-8.56,0.033566,115.514,Young And Beautiful,1
Blurred Lines,0Rz1KXsP4bhGxs0ffySSSn,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),263826,FALSE,0ZrpamOxcZybMHGg1AYtHP,3,0.864211,0.609989,-4.775,0.040292,119.99,Blurred Lines,1
The Man,1FsH6OZCKLWbBgqj8JcCvO,['Aloe Blacc'],Lift Your Spirit,255906,FALSE,0id62QV2SZZfvBn9xpmuCl,1,0.425136,0.750888,-8.094,0.055038,85.948,The Man,1
Blame,07nH4ifBxUB4lZcsf44Brn,"['Calvin Harris', 'John Newman']",Motion,212960,FALSE,7CajNmpbOovFoOoasH2HaY,2,0.636889,0.823335,-5.43,0.057841,127.995,Blame,1
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,['Coldplay'],Ghost Stories,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,A Sky Full of Stars,1
Not a Bad Thing,1A2UmLDZzDmpdzUjEkCc3z,['Justin Timberlake'],Not a Bad Thing,266533,TRUE,31TPClRtHm23RisEBtV3X7,1,0.386313,0.716044,-6.298,0.123555,85.148,Not a Bad Thing,1
Rude,6RtPijgfPKROxEzTHNRiDp,['Magic!'],Don't Kill the Magic,224840,FALSE,0DxeaLnv6SyYk2DOqkLO8c,1,0.730976,0.71973,-7.127,0.035138,144.029,Rude,1
Waves - Robin Schulz Radio Edit,5Sf3GyLEAzJXxZ5mbCPXTu,['Mr. Probz'],Waves,208133,FALSE,33W1pnW9zScZtYTnAoWnOT,1,0.825738,0.517724,-9.305,0.038791,119.968,Waves - Robin Schulz Radio Edit,1
Pompeii,3gbBpTdY8lnQwqxNCcf795,['Bastille'],Bad Blood,214147,FALSE,7EQ0qTo7fWT7DPxmxtSYEc,1,0.67287,0.728073,-5.995,0.041083,127.439,Pompeii,1
Royals,2dLLR6qlu5UJ5gk0dKz0h3,['Lorde'],Pure Heroine,190185,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.698641,0.425539,-9.209,0.102812,84.941,Royals,1
3005,3Z2sglqDj1rDRMF5x0Sz2R,['Childish Gambino'],Because The Internet,234213,TRUE,73sIBHcqh3Z3NyqHKZ7FOL,1,0.472655,0.461154,-6.474,0.332621,165.985,V. 3005,1
Tennis Court,74fpNVAJrKGQuqHETi4WSt,['Lorde'],Pure Heroine,198907,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.759181,0.555604,-8.956,0.062092,90.015,Tennis Court,1
Ber en bí_n - Tv4 Version,4rBhyxjxpKqTkNZwrcVazq,['Ken Ring'],Det bo’_rjade fo’_r la’_ngesen,200413,FALSE,2yMJGKSRgxIniMnq30FAzX,1,0.52527,0.356568,-12.949,0.200815,68.049,Ber en bí_n (TV4 Version),0
Heavy Heavy - Versií_n W,0rCKdX9ZUCYK37FO8IuWIf,['Wisin'],El Regreso del Sobreviviente (Deluxe Edition),224906,FALSE,3E6xrwgnVfYCrCs0ePERDz,1,0.699884,0.786935,-2.777,0.239438,171.971,Heavy Heavy (Versií_n W),0
Sja’_l,4yUBz3kkrlyZYaC0Bgc7dW,['Soulministeriet'],Det í_r sí« vi vill ha det,158753,FALSE,4lNxGhHvm132JmaKs7Xnnf,1,0.702907,0.583144,-7.065,0.114861,90.5,Sja’_l,0
aisatsana [102],3ESsjKqrj3M79I8sSZieK3,['Aphex Twin'],Syro,321880,FALSE,6kBDZFXuLrZgHnvmPu9NsG,1,0.276877,0.010036,-32.893,0.035884,102.397,aisatsana [102],0
"Miss You, Goodbye",0fLIbCP1rBFjgRFTd5nu5x,['K. Michelle'],Anybody Wanna Buy A Heart?,183400,FALSE,2retT7MFwHDVTeGKDdybEx,1,0.433565,0.585774,-6.772,0.048285,159.932,"Miss You, Goodbye",0
X,4Cyo444j2N3CfkbmMrbOYh,['Stoffe'],Goa Lí«tar,180062,FALSE,5fzHYHRUtWx4O1I4UnjMeq,1,0.758914,0.778574,-6.985,0.150689,127.969,X,0
Inga bekymmer [Prod. Prince H. Waltz],6vKaT5GcaODzjnGmKSjtJj,['Johan Vuitton & G\xc3\xb6rda'],STí‹NDUT,183000,TRUE,1stY41kRCdMAUpYLAlqxij,1,0.57757,0.612096,-6.359,0.378323,106.449,Inga bekymmer [Prod. Prince H. Waltz],0
G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,['J. Cole'],2014 Forest Hills Drive,301133,TRUE,6l3HvQ5sa6mXTsMTB19rO5,1,0.900287,0.380141,-10.487,0.189187,128.019,G.O.M.D.,0
Like a Drum,5hRtcfljrPHKNIwI2tmTzN,['Guy Sebastian'],Like a Drum,182133,FALSE,5PjekOABtfU2Kwo0AHVmci,1,0.681575,0.846016,-2.34,0.030942,130.077,Like a Drum,0
Let's Love,6FbhsFfNGOgHoWR5v5yoSh,['C-Clown'],Let's Love,198826,FALSE,5HBeCjZkFtwfLYD7X3kLwi,1,0.658231,0.931445,-2.873,0.071417,102.976,Let's Love,0
I See Fire,5pY3ovFxbvAg7reGZjJQSp,['Ed Sheeran'],x (Deluxe Edition),299146,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.642154,0.057126,-20.252,0.03398,76.01,I See Fire,0
Du Hast,1MH1aIxgZe8SRfOJYMX1V6,['Motionless In White'],Punk Goes 90's: Vol. 2,239349,TRUE,6MwPCCR936cYfM1dLsGVnl,1,0.5507,0.966067,-5.408,0.084573,125.032,Du Hast,0
Last All Night (Koala) [feat. KStewart] - Toyboy & Robin Remix,7Lgg4sQpyFimCAQxSoxUVf,"['Oliver Heldens', 'K. Stewart']",Last All Night (Koala) [feat. KStewart] [Remixes],312839,FALSE,5nki7yRhxgM509M5ADlN1p,2,0.785365,0.500391,-8.812,0.04955,124.036,Last All Night (Koala) [feat. KStewart] [Toyboy & Robin Remix],0
Call Me King Kong B!T%H!!!,6W5NXkJKtf4Phf2tRRjvBp,"['Fatman Scoop', 'Dienvy']",Call Me King Kong B!T%H!!!,219250,TRUE,15GGbJKqC6w0VYyAJtjej6,2,0.714248,0.964883,-5.256,0.115188,130.028,Call Me King Kong B!T%H!!!,0
Pappa Kom Hem,3Ac2xTIEudapqeOKzeUPjG,"['Cleo', 'Kristin Amparo', 'Broke n Tipsy']",Vem E Han,261984,FALSE,1SwDFc5jX708XR3XtzLrRs,3,0.401518,0.543877,-11.536,0.255492,96.533,Pappa Kom Hem,0
What Kind of Cool - QuestLove Remix,3VtoOb3SteJnXAJWHpVlK4,['Cody Chesnutt'],Landing On a Hundred: B Sides and Remixes,331240,FALSE,3sO8muEXafy2NGwUZByrTr,1,0.607716,0.386545,-7.954,0.055509,145.241,What Kind of Cool (QuestLove Remix),0
Jag stí«r kvar,72OvRQyPvft7VfQVxMS0Zs,['Min Stora Sorg'],"Mvh Anso, M$$",223914,FALSE,53mirS5AzwzEw9MsquLXFo,1,0.544319,0.595436,-9.444,0.031753,93.487,Jag stí«r kvar,0
Freedom,3oQ24bk8nOlDorA3tcrz3a,"['Afrojack', 'D-Wayne', 'Jack McManus']",Forget The World (Deluxe),243973,FALSE,4D75GcNG95ebPtNvoNVXhz,3,0.626615,0.825853,-5.335,0.034516,127.997,Freedom,0
Girlie 'O' Remix,1aj6wMbUFHqnt5k6yVi34m,"['Patoranking feat. Tiwa Savage', 'Pato Ranking']",Girlie 'O' Remix,235514,FALSE,7AV4NB11YbVRolNZclpaIb,2,0.708001,0.792768,-6.077,0.051142,106.477,Girlie O (Remix) [feat. Tiwa Savage],0
Innan du gí«r,6p4TLG8xhNnNe30huPAqS4,['Min Stora Sorg'],"Mvh Anso, M$$",251404,FALSE,53mirS5AzwzEw9MsquLXFo,1,0.778866,0.554732,-8.425,0.042707,109.986,Innan du gí«r,0
Weapon (Bastille Vs. Angel Haze Vs. F*U*G*Z Vs. Braque),7k6A0cQ8XrBbKImIq0JBwM,"['Bastille', 'Angel Haze', 'F*U*G*Z', 'Braque']","VS. (Other Peopleäó»s Heartache, Pt. III)",288013,FALSE,7EQ0qTo7fWT7DPxmxtSYEc,4,0.631852,0.809132,-6.226,0.218586,80.075,Weapon (Bastille Vs. Angel Haze Vs. F*U*G*Z Vs. Braque),0
Universal Flame,5ygOKK5jx5AnAQ08Q02JmD,['Devin Townsend Project'],ZŒ_,279973,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.431671,0.930981,-5.504,0.051345,124.002,Universal Flame,0
The Devil In I,5hheGdf1cb4rK0FNiedCfK,['Slipknot'],.5: The Gray Chapter (Special Edition),342821,FALSE,05fG473iIaoy82BF1aGhL8,1,0.397663,0.93902,-2.865,0.064825,92.027,The Devil In I,0
Faith (Chris Bullen Remix) [feat. KA$H],3dUbhcZs4SwghUWELCFrJI,"['Tigerlily', '2Less']",Faith (Remixes) [feat. KA$H],320654,FALSE,48xCatjXaoohtyOHrHTijG,2,0.808179,0.77643,-4.155,0.061767,128.014,Faith (feat. Ka$h) [Chris Bullen Remix],0
Shot You Down (feat. Jay Rock & ScHoolboy Q),01wKeKPgYxdPYA8rfMveYc,"['Isaiah Rashad', 'Jay Rock', 'Schoolboy Q']",Cilvia Demo,426996,TRUE,6aaMZ3fcfLv4tEbmY7bjRM,3,0.682786,0.716995,-3.698,0.258477,90.122,Shot You Down (feat. Jay Rock & ScHoolboy Q),0
Nam Weed,2AKA3AI93dlbYrNblJMrRK,['Scott H. Biram'],Nothin' But Blood,146493,FALSE,6wpI4AEN6UO7ksNN23RGEf,1,0.458288,0.381309,-11.26,0.050849,85.779,Nam Weed,0
Autumn Leaves,1KM1UMZe93xmBswZRFLUsL,"['Chris Brown', 'Kendrick Lamar']",X (Deluxe Version),268813,TRUE,7bXgB6jMjp9ATFy66eO08Z,2,0.570926,0.597549,-7.987,0.292332,145.264,Autumn Leaves,0
Nu mí«ste vi dra,33rrnCAOc1yoEAPbs8ZGL0,['Ken Ring'],Det bo’_rjade fo’_r la’_ngesen,231040,FALSE,2yMJGKSRgxIniMnq30FAzX,1,0.766173,0.874825,-4.456,0.119781,97.344,Nu mí«ste vi dra,0
When You're Gone,5Ht7dNQAH8b8JAewSTYKC5,['Mary J. Blige'],The London Sessions,204016,FALSE,1XkoF8ryArs86LZvFOkbyr,1,0.510382,0.483064,-7.739,0.169716,143.234,When You're Gone,0
Prayer In C,4GtcDcB7VdaURKgfbgQks9,['Lilly Wood and The Prick'],Invincible Friends (Edition Robin Schulz Remix),190026,FALSE,50OApTJurDusIo9dGTqSU4,1,0.70555,0.247948,-9.008,0.033572,94.015,Prayer In C,0
When The Sun Comes Up,71tmeC6QueUv1HGq9Lc8iO,['Ellen Benediktson'],F!,219106,FALSE,3IXfNkd6BwjYA48aNCPDI8,1,0.644563,0.754627,-5.801,0.035194,117.009,When The Sun Comes Up,0
Pantman Anthem,3aOrMh1ND3XLHukGJrizaJ,"['O-Hund', 'Third Eye', 'Antonio D']",Pantman Anthem,180000,FALSE,6w5waykNLa0CSprI42WPLo,3,0.845862,0.732193,-5.084,0.127782,92.043,Pantman Anthem,0
All In - Instrumental,2uJdGXy9wZ70QUi4Rf8UHF,['Dani M'],All In/ Aldrig igen,215400,FALSE,5ILMkt5lW4KAyTXMNYWaGF,1,0.770298,0.413931,-8.334,0.538331,176.072,All In [Instrumental],0
K I X S - Original Mix,47z9VJHKlnYa1EWGSQtiLg,['Moguai'],K I X S,337485,FALSE,4xgFgBZ7CRtgtHcziClOwQ,1,0.721967,0.678412,-5.532,0.08524,128,K I X S - Original Mix,0
Tainted Metal,2ksz7APg5xkV2HGnaiH3ao,['Hammerfall'],(r)Evolution,277800,FALSE,2o18h28enlHxj887tATc58,1,0.197444,0.96318,-4.973,0.070984,80.025,Tainted Metal,0
Fallout,5LYPsIl8ls31G2jEu8WqGG,['Devin Townsend Project'],ZŒ_,270666,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.410042,0.962389,-4.176,0.064543,146.034,Fallout,0
Keep It 100,0acDuvqkxNGBstX5FrbbO0,"['Grandtheft & Keys N Krates', 'Grandtheft', 'Keys N Krates']",Keep It 100,214137,FALSE,4C7Jub0HKSYe6F1wsB8eTf,3,0.618697,0.945778,-3.45,0.239582,164.04,Keep It 100,0
Let It Go,1GYQChqWWE5WrMdQcLi7r8,"['Katerina', 'Johnson']",G I R L,261041,FALSE,38KloDVtS6kT7BSU00ZHnn,2,0.847219,0.697897,-5.216,0.187813,101.019,Let It Go,0
O Holy Night,0e4Gocjke0EsAINL5ET39S,['Weeping Willows'],Christmas Time Has Come,191733,FALSE,6f3he2xOHHHSZ0JVhTRIVj,1,0.255493,0.063275,-15.556,0.03487,167.298,O Holy Night,0
Masterpiece,7nToEPuB95Y5rsJ3VrH3wQ,['Jessie J'],Sweet Talker (Deluxe Version),220653,FALSE,2gsggkzM5R49q6jpPvazou,1,0.658251,0.735311,-2.666,0.043593,143.888,Masterpiece,0
I Lived - Arty Remix,6PaD0mEiwjN9SR31lyd5ty,['OneRepublic'],I Lived,266640,FALSE,5Pwc4xIPtQLFEnJriah9YJ,1,0.432684,0.74254,-5.783,0.04498,127.986,I Lived - Arty Remix,0
Hela mig,4uJhciJPrTCMYvi7KvmZ7U,"['Nenne Mehari', 'Tredje \xc3\x96gat', 'Antonio D']",Tusen tack och pistoler,239913,FALSE,6rY7BnlEpTaKcTSORE1ueW,3,0.605466,0.838768,-6.094,0.076867,95.024,Hela mig,0
Apparently,1HNs07uZxZniPNmniw2GTa,['J. Cole'],2014 Forest Hills Drive,293040,TRUE,6l3HvQ5sa6mXTsMTB19rO5,1,0.80279,0.52342,-10.082,0.070746,134.005,Apparently,0
Bara fí_r i dag,2d1joI2KWKX5qjozHwL9ra,"['Block 44', 'Jesse P']",Kamouflage,226000,FALSE,6m8M9tDFB1naIfQC8vLPs6,2,0.537807,0.953094,-4.351,0.164033,119.968,Bara fí_r i dag,0
Childs Play (feat. Chance the Rapper),7GPstnufSTScEaw9dMxO9H,"['SZA', 'Chance The Rapper']",Z,216234,FALSE,7tYKF4w9nC0nq9CsPZTHyP,2,0.761027,0.338402,-9.098,0.039263,100.004,Childs Play (feat. Chance the Rapper),0
Spliff & Red Stripe,1UA3O0Oxo4hsLrPHGVmD09,['Stilett'],S/T,168360,FALSE,0XUnVZH89w9TtfZmaxnt6t,1,0.316863,0.968402,-2.919,0.10763,141.415,Spliff & Red Stripe,0
Up Down (Do This All Day),6lbhWl34Il0WXm5pX1fM9E,"['T-Pain', 'B.o.B']",T-Pain Presents Happy Hour: The Greatest Hits,231093,TRUE,3aQeKQSyrW4qWr35idm0cy,2,0.776484,0.533433,-5.513,0.058081,97.004,Up Down (Do This All Day),0
Vamos Beber (Joga o Copo Pro Alto),3qpj0CQMDOus6mui8qB7T5,"['Dennis DJ', 'Jo\xc3\xa3o Lucas & Marcelo', 'Ronaldinho Ga\xc3\xbacho']",Vamos Beber (Joga o Copo Pro Alto) - Single,169846,FALSE,6xlRSRMLgZbsSNd0BMobwy,3,0.79623,0.680754,-3.857,0.226947,129.961,Vamos Beber (Joga o Copo Pro Alto),0
I F*ck Wit You Girl,2u2fseIt359oKZoq6TxM6C,['Rich Homie Quan'],I Promise I Will Never Stop Going In (Deluxe Edition),227194,TRUE,5lHRUCqkQZCIWeX7xG4sYT,1,0.590016,0.399459,-11.509,0.184875,140.001,I F*ck Wit You Girl,0
Shekini,0J5yZ8WhWPyNnDYg1EWN4J,['P-Square'],Double Trouble,218095,FALSE,42IUN9kTPdUdI1kre6L7Wk,1,0.809769,0.874289,-4.874,0.085632,94.324,Shekini,0
Vissa dagar,2BYTWjVy2cnGENcG24j7QA,"['Dani M', 'L\xc3\xb6stFolk']",Min Grind,250613,FALSE,5ILMkt5lW4KAyTXMNYWaGF,2,0.684992,0.634978,-4.655,0.190705,149.857,Vissa dagar,0
Blind Threats,1XM48g8LlfvcZVePDSStJR,"['Schoolboy Q', 'Raekwon']",Oxymoron (Deluxe),269653,TRUE,5IcR3N7QB1j6KBL8eImZ8m,2,0.711805,0.850594,-8.146,0.287666,94.112,Blind Threats,0
Sweet Child O' Mine,2HDTwGn4mA9pRC2hMSs7jW,['Jasmine Thompson'],Another Bundle of Tantrums,221356,FALSE,2TL8gYTNgD6nXkyuUdDrMg,1,0.635212,0.27599,-13.003,0.031062,112.928,Sweet Child O' Mine,0
